Unit_ID,Region,Locality,Furnished,Bathroom,No_Rooms,Area,AnnualPrice
epsc019,Jakarta Pusat,Gunung Sahari,1,1,2,42.0,55000000
pktc026,Jakarta Selatan,Kebayoran Lama,1,1,2,39.0,55000000
gprc165,Jakarta Pusat,Cempaka Putih,0,1,2,33.0,39000000
spvc033,Jakarta Utara,Sunter,1,1,2,35.0,35000000
lvnb003,Jakarta Selatan,Pancoran,1,1,1,58.0,142200000
mapb005,Jakarta Barat,Tanjung Duren,0,1,1,27.0,35000000
gmmd001,Jakarta Barat,Gajah Mada,1,1,3,65.0,60000000
adyc003,Tangerang,Cikokol,1,1,2,39.0,53000000
blma002,Jakarta Barat,Kebon Jeruk,1,1,0,22.0,40000000
sphd003,Jakarta Pusat,Kemayoran,1,2,3,73.0,90000000
trsb068,Jakarta Barat,Tanjung Duren,1,1,1,38.0,65500000
tnsc001,Jakarta Timur,Pasar Rebo,1,1,2,32.0,55000000
blma104,Jakarta Barat,Kebon Jeruk,1,1,0,21.0,33000000
thrd002,Jakarta Pusat,Thamrin,1,2,3,86.0,216000000
stmd038,Jakarta Barat,Puri Indah,1,3,3,148.0,270000000
wprc007,Jakarta Selatan,Kalibata,1,1,2,56.0,91200000
gmrc010,Jakarta Utara,Kelapa Gading,1,1,2,42.0,47000000
mepa006,Jakarta Pusat,Menteng,1,1,0,28.0,69000000
sphd008,Jakarta Pusat,Kemayoran,1,2,3,101.0,125000000
mg1c098,Jakarta Barat,Tanjung Duren,1,1,2,40.0,40000000
mg2c122,Jakarta Barat,Tanjung Duren,1,1,2,42.0,52000000
mpkc003,Jakarta Pusat,Kemayoran,1,1,2,36.0,47000000
sscb005,Jakarta Barat,Grogol,1,1,1,28.0,36000000
pmna001,Jakarta Barat,Kalideres,0,1,0,25.0,25000000
ssub001,Jakarta Pusat,Bendungan Hilir,1,1,1,64.0,260000000
tssb035,Jakarta Selatan,Semanggi,1,1,1,55.0,96000000
pvlf001,Jakarta Pusat,Sudirman,1,2,2,115.0,286900000
re8b018,Jakarta Selatan,Senopati,1,1,1,76.0,274000000
ppvc089,Jakarta Barat,Kebon Jeruk,0,1,2,35.0,24000000
spca001,Jakarta Selatan,Pancoran,0,2,0,102.0,220000000
pktf019,Jakarta Selatan,Kebayoran Lama,1,1,2,38.0,60000000
pumb013,Jakarta Barat,Puri Indah,1,1,1,37.0,40000000
taac062,Jakarta Barat,Tanjung Duren,1,1,2,88.0,90000000
kucb011,Jakarta Selatan,Kuningan,1,1,1,59.0,156000000
merc001,Jakarta Selatan,Cilandak,1,2,2,180.0,218400000
tssc002,Jakarta Selatan,Semanggi,1,1,2,72.0,180000000
gprc129,Jakarta Pusat,Cempaka Putih,1,1,2,34.0,65200000
rmgc013,Jakarta Barat,Tanjung Duren,1,1,2,53.0,85000000
trsc074,Jakarta Barat,Tanjung Duren,1,1,2,50.0,88000000
mg1b018,Jakarta Barat,Tanjung Duren,1,1,1,30.0,30000000
apla019,Tangerang,Serpong,0,1,0,28.0,21000000
1pac007,Jakarta Selatan,Gandaria,1,2,2,91.0,291060000
mmac017,Jakarta Utara,Ancol,1,1,2,50.0,45000000
gkla017,Bekasi,Pekayon,0,1,0,36.0,44400000
moic023,Jakarta Utara,Kelapa Gading,1,1,2,45.0,60000000
